method,x,xq,approx,reference,signed_error,abs_error,rel_error,terms,muls,divs,shifts,adds,saturations,max_abs_intermediate_q,max_abs_intermediate_real,reduction_steps
halving_t12,-3.46,-58049167,-0.968570172787,-0.968570237982,6.5194919685e-08,6.5194919685e-08,6.73104717949e-08,8,11,8,6,10,0,29024584,1.73000001907,3
halving_adaptive,-3.46,-58049167,-0.968570172787,-0.968570237982,6.5194919685e-08,6.5194919685e-08,6.73104717949e-08,8,10,7,6,10,0,29024584,1.73000001907,3
fine_ln2_2_t12,-3.46,-58049167,-0.968570232391,-0.968570237982,5.59027490965e-09,5.59027490965e-09,5.77167735538e-09,3,4,3,1,4,0,16873726,1.00575244427,1
fine_ln2_4_t12,-3.46,-58049167,-0.968570232391,-0.968570237982,5.59027490965e-09,5.59027490965e-09,5.77167735538e-09,3,4,3,1,4,0,16873726,1.00575244427,1
fine_ln2_8_t12,-3.46,-58049167,-0.968570232391,-0.968570237982,5.59027490965e-09,5.59027490965e-09,5.77167735538e-09,3,4,3,1,4,0,16873726,1.00575244427,1
fine_ln2_16_t12,-3.46,-58049167,-0.968570291996,-0.968570237982,-5.40143698657e-08,5.40143698657e-08,5.57671170841e-08,3,4,3,1,4,0,16873686,1.00575006008,1
fine_ln2_32_t12,-3.46,-58049167,-0.968570172787,-0.968570237982,6.5194919685e-08,6.5194919685e-08,6.73104717949e-08,3,4,3,1,4,0,16873766,1.00575482845,1
fine_ln2_64_t12,-3.46,-58049167,-0.96857047081,-0.968570237982,-2.32828304192e-07,2.32828304192e-07,2.40383500403e-07,2,3,2,1,3,0,16873606,1.00574529171,1
direct_t12_trunc,-3.45,-57881395,-0.96699398756,-0.968254363622,0.00126037606166,0.00126037606166,0.00130169933544,12,11,11,0,11,0,396136643,23.6115838885,0
direct_t12_rne,-3.45,-57881395,-0.96699398756,-0.968254363622,0.00126037606166,0.00126037606166,0.00130169933544,12,11,11,0,11,0,396136647,23.6115841269,0
direct_t16_rne,-3.45,-57881395,-0.968251109123,-0.968254363622,3.25449870209e-06,3.25449870209e-06,3.36120220508e-06,16,15,15,0,15,0,396136647,23.6115841269,0
direct_t20_rne,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,19,19,19,0,18,0,396136647,23.6115841269,0
adaptive_rne,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,19,19,19,0,18,0,396136647,23.6115841269,0
divfirst_t12_rne,-3.45,-57881395,-0.96699398756,-0.968254363622,0.00126037606166,0.00126037606166,0.00130169933544,12,11,11,0,11,0,114822220,6.84393763542,0
rr_ln2_t12,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,3,4,3,1,4,0,17043309,1.01586037874,1
rr_ln2_adaptive,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,3,4,3,1,4,0,17043309,1.01586037874,1
halving_t12,-3.45,-57881395,-0.968254327774,-0.968254363622,3.58478842166e-08,3.58478842166e-08,3.7023209565e-08,8,11,8,6,10,0,28940698,1.72500002384,3
halving_adaptive,-3.45,-57881395,-0.968254327774,-0.968254363622,3.58478842166e-08,3.58478842166e-08,3.7023209565e-08,8,10,7,6,10,0,28940698,1.72500002384,3
fine_ln2_2_t12,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,3,4,3,1,4,0,17043309,1.01586037874,1
fine_ln2_4_t12,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,3,4,3,1,4,0,17043309,1.01586037874,1
fine_ln2_8_t12,-3.45,-57881395,-0.968254387379,-0.968254363622,-2.37567605588e-08,2.37567605588e-08,2.45356607224e-08,3,4,3,1,4,0,17043309,1.01586037874,1
fine_ln2_16_t12,-3.45,-57881395,-0.968254446983,-0.968254363622,-8.33614053342e-08,8.33614053342e-08,8.60945310097e-08,3,4,3,1,4,0,17043269,1.01585799456,1
fine_ln2_32_t12,-3.45,-57881395,-0.968254268169,-0.968254363622,9.5452528992e-08,9.5452528992e-08,9.85820798524e-08,3,4,3,1,4,0,17043349,1.01586276293,1
fine_ln2_64_t12,-3.45,-57881395,-0.968254566193,-0.968254363622,-2.02570694885e-07,2.02570694885e-07,2.09212271584e-07,2,3,2,1,3,0,17043188,1.01585316658,1
direct_t12_trunc,-3.44,-57713623,-0.966720879078,-0.967935314672,0.00121443559423,0.00121443559423,0.00125466606685,12,11,11,0,11,0,391563689,23.3390145898,0
direct_t12_rne,-3.44,-57713623,-0.966720759869,-0.967935314672,0.00121455480352,0.00121455480352,0.00125478922518,12,11,11,0,11,0,391563693,23.3390148282,0
direct_t16_rne,-3.44,-57713623,-0.967932105064,-0.967935314672,3.20960774713e-06,3.20960774713e-06,3.31593206538e-06,16,15,15,0,15,0,391563693,23.3390148282,0
direct_t20_rne,-3.44,-57713623,-0.967935204506,-0.967935314672,1.10166218814e-07,1.10166218814e-07,1.13815682871e-07,19,19,19,0,18,0,391563693,23.3390148282,0
adaptive_rne,-3.44,-57713623,-0.967935204506,-0.967935314672,1.10166218814e-07,1.10166218814e-07,1.13815682871e-07,19,19,19,0,18,0,391563693,23.3390148282,0
divfirst_t12_rne,-3.44,-57713623,-0.966720640659,-0.967935314672,0.00121467401281,0.00121467401281,0.0012549123835,12,11,11,0,11,0,113826655,6.78459733725,0
rr_ln2_t12,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,3,4,3,1,4,0,17214597,1.02606993914,1
rr_ln2_adaptive,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,3,4,3,1,4,0,17214597,1.02606993914,1
halving_t12,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,8,11,8,6,10,0,28856812,1.72000002861,3
halving_adaptive,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,8,10,7,6,10,0,28856812,1.72000002861,3
fine_ln2_2_t12,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,3,4,3,1,4,0,17214597,1.02606993914,1
fine_ln2_4_t12,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,3,4,3,1,4,0,17214597,1.02606993914,1
fine_ln2_8_t12,-3.44,-57713623,-0.967935323715,-0.967935314672,-9.04307073668e-09,9.04307073668e-09,9.34263953345e-09,3,4,3,1,4,0,17214597,1.02606993914,1
fine_ln2_16_t12,-3.44,-57713623,-0.96793538332,-0.967935314672,-6.86477155121e-08,6.86477155121e-08,7.09218007355e-08,3,4,3,1,4,0,17214557,1.02606755495,1
fine_ln2_32_t12,-3.44,-57713623,-0.967935264111,-0.967935314672,5.05615740387e-08,5.05615740387e-08,5.22365216686e-08,2,3,2,1,3,0,17214638,1.02607238293,1
fine_ln2_64_t12,-3.44,-57713623,-0.967935562134,-0.967935314672,-2.47461649838e-07,2.47461649838e-07,2.55659284342e-07,2,3,2,1,3,0,17214475,1.02606266737,1
direct_t12_trunc,-3.43,-57545851,-0.966443002224,-0.967613059227,0.00117005700312,0.00117005700312,0.00120921993763,12,11,11,0,11,0,387030440,23.0688118935,0
direct_t12_rne,-3.43,-57545851,-0.966442942619,-0.967613059227,0.00117011660777,0.00117011660777,0.0012092815373,12,11,11,0,11,0,387030448,23.0688123703,0
direct_t16_rne,-3.43,-57545851,-0.967610061169,-0.967613059227,2.9980584223e-06,2.9980584223e-06,3.09840632442e-06,16,15,15,0,15,0,387030448,23.0688123703,0
direct_t20_rne,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,19,19,19,0,18,0,387030448,23.0688123703,0
adaptive_rne,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,19,19,19,0,18,0,387030448,23.0688123703,0
divfirst_t12_rne,-3.43,-57545851,-0.966443061829,-0.967613059227,0.00116999739848,0.00116999739848,0.00120915833796,12,11,11,0,11,0,112836865,6.72560125589,0
rr_ln2_t12,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,4,5,4,1,5,0,17387607,1.03638213873,1
rr_ln2_adaptive,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,4,4,3,1,5,0,17387607,1.03638213873,1
halving_t12,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,8,11,8,6,10,0,28772926,1.71500003338,3
halving_adaptive,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,8,10,7,6,10,0,28772926,1.71500003338,3
fine_ln2_2_t12,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,4,5,4,1,5,0,17387607,1.03638213873,1
fine_ln2_4_t12,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,4,5,4,1,5,0,17387607,1.03638213873,1
fine_ln2_8_t12,-3.43,-57545851,-0.967613041401,-0.967613059227,1.78261835293e-08,1.78261835293e-08,1.84228430562e-08,4,5,4,1,5,0,17387607,1.03638213873,1
fine_ln2_16_t12,-3.43,-57545851,-0.96761316061,-0.967613059227,-1.01383106021e-07,1.01383106021e-07,1.04776496198e-07,3,4,3,1,4,0,17387566,1.03637969494,1
fine_ln2_32_t12,-3.43,-57545851,-0.967612981796,-0.967613059227,7.74308283047e-08,7.74308283047e-08,8.00225126835e-08,3,4,3,1,4,0,17387648,1.03638458252,1
fine_ln2_64_t12,-3.43,-57545851,-0.967613279819,-0.967613059227,-2.20592395572e-07,2.20592395572e-07,2.27975835453e-07,2,3,2,1,3,0,17387484,1.03637480736,1
direct_t12_trunc,-3.42,-57378079,-0.966160416603,-0.967287565061,0.00112714845789,0.00112714845789,0.00116526718486,12,11,11,0,11,0,382536670,22.8009623289,0
direct_t12_rne,-3.42,-57378079,-0.966160476208,-0.967287565061,0.00112708885325,0.00112708885325,0.00116520556447,12,11,11,0,11,0,382536677,22.8009627461,0
direct_t16_rne,-3.42,-57378079,-0.967284798622,-0.967287565061,2.76643884889e-06,2.76643884889e-06,2.8599962915e-06,16,15,15,0,15,0,382536677,22.8009627461,0
direct_t20_rne,-3.42,-57378079,-0.967287659645,-0.967287565061,-9.45841003297e-08,9.45841003297e-08,9.778281428e-08,19,19,19,0,18,0,382536677,22.8009627461,0
adaptive_rne,-3.42,-57378079,-0.967287659645,-0.967287565061,-9.45841003297e-08,9.45841003297e-08,9.778281428e-08,19,19,19,0,18,0,382536677,22.8009627461,0
divfirst_t12_rne,-3.42,-57378079,-0.966160297394,-0.967287565061,0.00112726766718,0.00112726766718,0.00116539042566,12,11,11,0,11,0,111852831,6.66694825888,0
rr_ln2_t12,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,4,5,4,1,5,0,17562355,1.04679793119,1
rr_ln2_adaptive,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,4,5,4,1,5,0,17562355,1.04679793119,1
halving_t12,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,8,11,8,6,10,0,28689040,1.71000003815,3
halving_adaptive,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,8,10,7,6,10,0,28689040,1.71000003815,3
fine_ln2_2_t12,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,4,5,4,1,5,0,17562355,1.04679793119,1
fine_ln2_4_t12,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,4,5,4,1,5,0,17562355,1.04679793119,1
fine_ln2_8_t12,-3.42,-57378079,-0.967287540436,-0.967287565061,2.46251892211e-08,2.46251892211e-08,2.54579817942e-08,4,5,4,1,5,0,17562356,1.0467979908,1
fine_ln2_16_t12,-3.42,-57378079,-0.967287659645,-0.967287565061,-9.45841003297e-08,9.45841003297e-08,9.778281428e-08,2,3,2,1,3,0,17562314,1.0467954874,1
fine_ln2_32_t12,-3.42,-57378079,-0.967287480831,-0.967287565061,8.42298339965e-08,8.42298339965e-08,8.70783798313e-08,2,3,2,1,3,0,17562396,1.04680037498,1
fine_ln2_64_t12,-3.42,-57378079,-0.967287778854,-0.967287565061,-2.1379338988e-07,2.1379338988e-07,2.21023610354e-07,2,3,2,1,3,0,17562231,1.04679054022,1
direct_t12_trunc,-3.41,-57210307,-0.96587318182,-0.966958799624,0.0010856178042,0.0010856178042,0.00112271360953,12,11,11,0,11,0,378082146,22.5354520082,0
direct_t12_rne,-3.41,-57210307,-0.965873122215,-0.966958799624,0.00108567740884,0.00108567740884,0.00112277525088,12,11,11,0,11,0,378082150,22.5354522467,0
direct_t16_rne,-3.41,-57210307,-0.966956138611,-0.966958799624,2.66101327318e-06,2.66101327318e-06,2.75194069717e-06,16,15,15,0,15,0,378082150,22.5354522467,0
direct_t20_rne,-3.41,-57210307,-0.966958880424,-0.966958799624,-8.08003864927e-08,8.08003864927e-08,8.35613539317e-08,19,19,19,0,18,0,378082150,22.5354522467,0
adaptive_rne,-3.41,-57210307,-0.966958880424,-0.966958799624,-8.08003864927e-08,8.08003864927e-08,8.35613539317e-08,19,19,19,0,18,0,378082150,22.5354522467,0
divfirst_t12_rne,-3.41,-57210307,-0.965873122215,-0.966958799624,0.00108567740884,0.00108567740884,0.00112277525088,12,11,11,0,11,0,110874531,6.60863703489,0
rr_ln2_t12,-3.41,-57210307,-0.96695882082,-0.966958799624,-2.11957417173e-08,2.11957417173e-08,2.19200049946e-08,4,5,4,1,5,0,17738859,1.05731838942,1
rr_ln2_adaptive,-3.41,-57210307,-0.96695882082,-0.966958799624,-2.11957417173e-08,2.11957417173e-08,2.19200049946e-08,4,5,4,1,5,0,17738859,1.05731838942,1
halving_t12,-3.41,-57210307,-0.966958761215,-0.966958799624,3.84089030581e-08,3.84089030581e-08,3.97213439425e-08,8,11,8,6,10,0,28605154,1.70500004292,3
halving_adaptive,-3.41,-57210307,-0.966958761215,-0.966958799624,3.84089030581e-08,3.84089030581e-08,3.97213439425e-08,8,10,7,6,10,0,28605154,1.70500004292,3
fine_ln2_2_t12,-3.41,-57210307,-0.96695882082,-0.966958799624,-2.11957417173e-08,2.11957417173e-08,2.19200049946e-08,4,5,4,1,5,0,17738859,1.05731838942,1
fine_ln2_4_t12,-3.41,-57210307,-0.96695882082,-0.966958799624,-2.11957417173e-08,2.11957417173e-08,2.19200049946e-08,4,5,4,1,5,0,17738859,1.05731838942,1
fine_ln2_8_t12,-3.41,-57210307,-0.96695882082,-0.966958799624,-2.11957417173e-08,2.11957417173e-08,2.19200049946e-08,4,5,4,1,5,0,17738860,1.05731844902,1
fine_ln2_16_t12,-3.41,-57210307,-0.966958880424,-0.966958799624,-8.08003864927e-08,8.08003864927e-08,8.35613539317e-08,3,4,3,1,4,0,17738818,1.05731594563,1
fine_ln2_32_t12,-3.41,-57210307,-0.966958701611,-0.966958799624,9.80135478335e-08,9.80135478335e-08,1.0136269288e-07,3,4,3,1,4,0,17738901,1.05732089281,1
fine_ln2_64_t12,-3.41,-57210307,-0.966959059238,-0.966958799624,-2.59614320819e-07,2.59614320819e-07,2.68485400743e-07,2,3,2,1,3,0,17738734,1.05731093884,1
direct_t12_trunc,-3.4,-57042534,-0.965581059456,-0.96662673004,0.0010456705838,0.0010456705838,0.00108177288224,12,11,11,0,11,0,373666617,22.2722659707,0
direct_t12_rne,-3.4,-57042534,-0.965581119061,-0.96662673004,0.00104561097916,0.00104561097916,0.00108171121971,12,11,11,0,11,0,373666617,22.2722659707,0
direct_t16_rne,-3.4,-57042534,-0.966624140739,-0.96662673004,2.589300233e-06,2.589300233e-06,2.67869711496e-06,16,15,15,0,15,0,373666617,22.2722659707,0
direct_t20_rne,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,19,19,19,0,18,0,373666617,22.2722659707,0
adaptive_rne,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,19,19,19,0,18,0,373666617,22.2722659707,0
divfirst_t12_rne,-3.4,-57042534,-0.965580880642,-0.96662673004,0.00104584939774,0.00104584939774,0.00108195786981,12,11,11,0,11,0,109901946,6.55066645145,0
rr_ln2_t12,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,4,5,4,1,5,0,17917138,1.06794464588,1
rr_ln2_adaptive,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,4,5,4,1,5,0,17917138,1.06794464588,1
halving_t12,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,7,10,7,6,9,0,28521267,1.69999998808,3
halving_adaptive,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,7,10,7,6,9,0,28521267,1.69999998808,3
fine_ln2_2_t12,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,4,5,4,1,5,0,17917138,1.06794464588,1
fine_ln2_4_t12,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,4,5,4,1,5,0,17917138,1.06794464588,1
fine_ln2_8_t12,-3.4,-57042534,-0.966626703739,-0.96662673004,2.63005076606e-08,2.63005076606e-08,2.7208545805e-08,3,4,3,1,4,0,17917138,1.06794464588,1
fine_ln2_16_t12,-3.4,-57042534,-0.966626822948,-0.96662673004,-9.29087818902e-08,9.29087818902e-08,9.61165039232e-08,3,4,3,1,4,0,17917097,1.06794220209,1
fine_ln2_32_t12,-3.4,-57042534,-0.966626644135,-0.96662673004,8.5905152436e-08,8.5905152436e-08,8.88710706691e-08,2,3,2,1,3,0,17917181,1.06794720888,1
fine_ln2_64_t12,-3.4,-57042534,-0.966626942158,-0.96662673004,-2.12118071441e-07,2.12118071441e-07,2.19441553651e-07,2,3,2,1,3,0,17917013,1.0679371953,1
direct_t12_trunc,-3.39,-56874762,-0.965284466743,-0.9662913231,0.00100685635696,0.00100685635696,0.00104198012844,12,11,11,0,11,0,369289899,22.011393249,0
direct_t12_rne,-3.39,-56874762,-0.965284407139,-0.9662913231,0.0010069159616,0.0010069159616,0.00104204181237,12,11,11,0,11,0,369289899,22.011393249,0
direct_t16_rne,-3.39,-56874762,-0.966288864613,-0.9662913231,2.45848784819e-06,2.45848784819e-06,2.54425118949e-06,16,15,15,0,15,0,369289899,22.011393249,0
direct_t20_rne,-3.39,-56874762,-0.966291368008,-0.9662913231,-4.49072323772e-08,4.49072323772e-08,4.64738027793e-08,19,19,19,0,18,0,369289899,22.011393249,0
adaptive_rne,-3.39,-56874762,-0.966291368008,-0.9662913231,-4.49072323772e-08,4.49072323772e-08,4.64738027793e-08,19,19,19,0,18,0,369289899,22.011393249,0
divfirst_t12_rne,-3.39,-56874762,-0.965284526348,-0.9662913231,0.00100679675231,0.00100679675231,0.00104191844452,12,11,11,0,11,0,108935073,6.49303632975,0
rr_ln2_t12,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,4,5,4,1,5,0,18097209,1.07867771387,1
rr_ln2_adaptive,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,4,5,4,1,5,0,18097209,1.07867771387,1
halving_t12,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,7,10,7,6,9,0,28437381,1.69499999285,3
halving_adaptive,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,7,10,7,6,9,0,28437381,1.69499999285,3
fine_ln2_2_t12,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,4,5,4,1,5,0,18097209,1.07867771387,1
fine_ln2_4_t12,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,4,5,4,1,5,0,18097209,1.07867771387,1
fine_ln2_8_t12,-3.39,-56874762,-0.966291308403,-0.9662913231,1.46974123982e-08,1.46974123982e-08,1.5210125608e-08,3,4,3,1,4,0,18097208,1.07867765427,1
fine_ln2_16_t12,-3.39,-56874762,-0.966291427612,-0.9662913231,-1.04511877153e-07,1.04511877153e-07,1.08157731167e-07,3,4,3,1,4,0,18097167,1.07867521048,1
fine_ln2_32_t12,-3.39,-56874762,-0.966291248798,-0.9662913231,7.43020571736e-08,7.43020571736e-08,7.68940539952e-08,3,4,3,1,4,0,18097251,1.07868021727,1
fine_ln2_64_t12,-3.39,-56874762,-0.966291546822,-0.9662913231,-2.23721166703e-07,2.23721166703e-07,2.31525587941e-07,1,2,1,1,2,0,18097082,1.07867014408,1
direct_t12_trunc,-3.38,-56706990,-0.964983046055,-0.965952545265,0.000969499210561,0.000969499210561,0.00100367167654,12,11,11,0,11,0,364951740,21.7528188229,0
direct_t12_rne,-3.38,-56706990,-0.96498298645,-0.965952545265,0.000969558815205,0.000969558815205,0.0010037333821,12,11,11,0,11,0,364951744,21.7528190613,0
direct_t16_rne,-3.38,-56706990,-0.965950191021,-0.965952545265,2.35424443507e-06,2.35424443507e-06,2.43722576912e-06,16,15,15,0,15,0,364951744,21.7528190613,0
direct_t20_rne,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,19,19,19,0,18,0,364951744,21.7528190613,0
adaptive_rne,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,19,19,19,0,18,0,364951744,21.7528190613,0
divfirst_t12_rne,-3.38,-56706990,-0.96498298645,-0.965952545265,0.000969558815205,0.000969558815205,0.0010037333821,12,11,11,0,11,0,107973890,6.43574535847,0
rr_ln2_t12,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,5,6,5,1,6,0,18279089,1.08951860666,1
rr_ln2_adaptive,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,5,5,4,1,6,0,18279089,1.08951860666,1
halving_t12,-3.38,-56706990,-0.965952575207,-0.965952545265,-2.99413559501e-08,2.99413559501e-08,3.09967152081e-08,7,10,7,6,9,0,28353495,1.68999999762,3
halving_adaptive,-3.38,-56706990,-0.965952575207,-0.965952545265,-2.99413559501e-08,2.99413559501e-08,3.09967152081e-08,7,10,7,6,9,0,28353495,1.68999999762,3
fine_ln2_2_t12,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,5,6,5,1,6,0,18279089,1.08951860666,1
fine_ln2_4_t12,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,5,6,5,1,6,0,18279089,1.08951860666,1
fine_ln2_8_t12,-3.38,-56706990,-0.965952515602,-0.965952545265,2.96632888253e-08,2.96632888253e-08,3.07088469e-08,2,3,2,1,3,0,18279089,1.08951860666,1
fine_ln2_16_t12,-3.38,-56706990,-0.965952634811,-0.965952545265,-8.95460007255e-08,8.95460007255e-08,9.27022773162e-08,2,3,2,1,3,0,18279046,1.08951604366,1
fine_ln2_32_t12,-3.38,-56706990,-0.965952455997,-0.965952545265,8.92679336006e-08,8.92679336006e-08,9.24144090082e-08,2,3,2,1,3,0,18279131,1.08952111006,1
fine_ln2_64_t12,-3.38,-56706990,-0.965952754021,-0.965952545265,-2.08755290276e-07,2.08755290276e-07,2.16113401533e-07,2,3,2,1,3,0,18278961,1.08951097727,1
direct_t12_trunc,-3.37,-56539218,-0.964676916599,-0.965610362657,0.000933446057254,0.000933446057254,0.000966690182037,12,11,11,0,11,0,360651917,21.4965294003,0
direct_t12_rne,-3.37,-56539218,-0.96467679739,-0.965610362657,0.000933565266543,0.000933565266543,0.000966813636895,12,11,11,0,11,0,360651924,21.4965298176,0
direct_t16_rne,-3.37,-56539218,-0.96560806036,-0.965610362657,2.3022965725e-06,2.3022965725e-06,2.38429149224e-06,16,15,15,0,15,0,360651924,21.4965298176,0
direct_t20_rne,-3.37,-56539218,-0.965610265732,-0.965610362657,9.69247158089e-08,9.69247158089e-08,1.00376631773e-07,19,19,19,0,18,0,360651924,21.4965298176,0
adaptive_rne,-3.37,-56539218,-0.965610265732,-0.965610362657,9.69247158089e-08,9.69247158089e-08,1.00376631773e-07,19,18,18,0,18,0,360651924,21.4965298176,0
divfirst_t12_rne,-3.37,-56539218,-0.964676856995,-0.965610362657,0.000933505661898,0.000933505661898,0.000966751909466,12,11,11,0,11,0,107018374,6.37879216671,0
rr_ln2_t12,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,5,6,5,1,6,0,18462797,1.10046845675,1
rr_ln2_adaptive,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,5,5,4,1,6,0,18462797,1.10046845675,1
halving_t12,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,7,10,7,6,9,0,28269609,1.68500000238,3
halving_adaptive,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,7,10,7,6,9,0,28269609,1.68500000238,3
fine_ln2_2_t12,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,5,6,5,1,6,0,18462797,1.10046845675,1
fine_ln2_4_t12,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,4,5,4,1,5,0,18462798,1.10046851635,1
fine_ln2_8_t12,-3.37,-56539218,-0.965610384941,-0.965610362657,-2.22845737419e-08,2.22845737419e-08,2.3078225549e-08,3,4,3,1,4,0,18462797,1.10046845675,1
fine_ln2_16_t12,-3.37,-56539218,-0.965610444546,-0.965610362657,-8.18892185173e-08,8.18892185173e-08,8.48056542102e-08,3,4,3,1,4,0,18462753,1.10046583414,1
fine_ln2_32_t12,-3.37,-56539218,-0.965610265732,-0.965610362657,9.69247158089e-08,9.69247158089e-08,1.00376631773e-07,3,4,3,1,4,0,18462839,1.10047096014,1
fine_ln2_64_t12,-3.37,-56539218,-0.96561062336,-0.965610362657,-2.60703152843e-07,2.60703152843e-07,2.69987940194e-07,2,3,2,1,3,0,18462669,1.10046082735,1
direct_t12_trunc,-3.36,-56371446,-0.964366078377,-0.965264741055,0.000898662678491,0.000898662678491,0.000931001247916,12,11,11,0,11,0,356390201,21.242511332,0
direct_t12_rne,-3.36,-56371446,-0.964366137981,-0.965264741055,0.000898603073847,0.000898603073847,0.000930939498385,12,11,11,0,11,0,356390209,21.2425118089,0
