x,libm_expm1f,q24_8,q8_24,q24_minus_libm,q8_minus_libm,q24_abs_err,q8_abs_err,q24_rel_err,q8_rel_err,q24_minus_q8
5.4000001401e-03,5.4146065377e-03,3.9062500000e-03,5.4145455360e-03,-1.5083565377e-03,-6.1001628637e-08,1.5083565377e-03,6.1001628637e-08,2.7857178450e-01,1.1266123693e-05,-1.5082955360e-03
5.4999999702e-03,5.5151525885e-03,3.9062500000e-03,5.5150985718e-03,-1.6089025885e-03,-5.4016709328e-08,1.6089025885e-03,5.4016709328e-08,2.9172402620e-01,9.7942365755e-06,-1.6088485718e-03
5.5999998003e-03,5.6157088839e-03,3.9062500000e-03,5.6156516075e-03,-1.7094588839e-03,-5.7276338339e-08,1.7094588839e-03,5.7276338339e-08,3.0440661311e-01,1.0199307326e-05,-1.7094016075e-03
5.7000000961e-03,5.7162758894e-03,3.9062500000e-03,5.7162046432e-03,-1.8100258894e-03,-7.1246176958e-08,1.8100258894e-03,7.1246176958e-08,3.1664425135e-01,1.2463739949e-05,-1.8099546432e-03
5.7999999262e-03,5.8168526739e-03,3.9062500000e-03,5.8168172836e-03,-1.9106026739e-03,-3.5390257835e-08,1.9106026739e-03,3.5390257835e-08,3.2845985889e-01,6.0840902734e-06,-1.9105672836e-03
5.9000002220e-03,5.9174397029e-03,7.8125000000e-03,5.9174299240e-03,1.8950602971e-03,-9.7788870335e-09,1.8950602971e-03,9.7788870335e-09,3.2025003433e-01,1.6525536921e-06,1.8950700760e-03
6.0000000522e-03,6.0180360451e-03,7.8125000000e-03,6.0179233551e-03,1.7944639549e-03,-1.1269003153e-07,1.7944639549e-03,1.1269003153e-07,2.9818099737e-01,1.8725382688e-05,1.7945766449e-03
6.0999998823e-03,6.1186426319e-03,7.8125000000e-03,6.1185956001e-03,1.6938573681e-03,-4.7031790018e-08,1.6938573681e-03,4.7031790018e-08,2.7683547139e-01,7.6866381278e-06,1.6939043999e-03
6.2000001781e-03,6.2192599289e-03,7.8125000000e-03,6.2192082405e-03,1.5932400711e-03,-5.1688402891e-08,1.5932400711e-03,5.1688402891e-08,2.5617840886e-01,8.3110217020e-06,1.5932917595e-03
6.3000000082e-03,6.3198865391e-03,7.8125000000e-03,6.3197612762e-03,1.4926134609e-03,-1.2526288629e-07,1.4926134609e-03,1.2526288629e-07,2.3617725074e-01,1.9820432499e-05,1.4927387238e-03
6.3999998383e-03,6.4205233939e-03,7.8125000000e-03,6.4204335213e-03,1.3919766061e-03,-8.9872628450e-08,1.3919766061e-03,8.9872628450e-08,2.1680110693e-01,1.3997710994e-05,1.3920664787e-03
